"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 12- 19","294.31","295.06","295.84","292.82","70.19M","0.03%"
"2019- 12- 18","294.22","294.31","295.85","293.05","76.91M","-0.06%"
"2019- 12- 17","294.40","291.76","294.50","290.52","94.37M","1.60%"
"2019- 12- 16","289.76","289.54","290.80","289.36","73.74M","-0.12%"
"2019- 12- 13","290.11","289.34","290.11","288.32","99.62M","1.75%"
"2019- 12- 12","285.11","282.62","285.43","282.62","133.65M","1.72%"
"2019- 12- 11","280.28","279.19","281.03","278.45","66.85M","0.35%"
"2019- 12- 10","279.31","276.80","279.75","276.62","56.67M","0.46%"
"2019- 12- 09","278.03","278.31","278.75","277.02","70.52M","0.53%"
"2019- 12- 06","276.56","275.19","277.00","274.75","70.11M","1.19%"
"2019- 12- 05","273.30","275.65","276.63","272.53","66.51M","-0.31%"
"2019- 12- 04","274.15","274.36","274.68","272.53","81.92M","-0.74%"
"2019- 12- 03","276.19","274.93","276.63","273.88","67.28M","-0.45%"
"2019- 12- 02","277.44","278.27","279.44","276.97","66.61M","0.24%"
"2019- 11- 29","276.78","282.08","282.10","276.34","74.60M","-1.58%"
"2019- 11- 28","281.23","281.23","282.80","281.05","61.62M","-0.57%"
"2019- 11- 27","282.85","283.56","284.02","281.27","60.90M","0.36%"
"2019- 11- 26","281.83","283.09","284.87","281.77","119.52M","-0.13%"
"2019- 11- 25","282.19","281.77","283.53","281.48","64.51M","0.99%"
"2019- 11- 22","279.43","278.57","279.89","278.14","74.35M","0.41%"
"2019- 11- 21","278.28","281.89","282.33","276.98","81.75M","-1.39%"
"2019- 11- 20","282.21","284.27","285.29","282.00","73.55M","-1.40%"
"2019- 11- 19","286.23","285.74","286.34","283.73","68.17M","-0.33%"
"2019- 11- 18","287.18","287.10","287.78","285.94","56.11M","-0.04%"
"2019- 11- 15","287.29","283.85","287.72","283.30","71.65M","1.18%"
"2019- 11- 14","283.93","281.90","283.93","281.10","79.76M","0.94%"
"2019- 11- 13","281.28","282.28","282.49","280.62","60.13M","-0.84%"
"2019- 11- 12","283.65","281.90","283.65","280.79","65.57M","1.00%"
"2019- 11- 11","280.85","283.30","283.30","280.40","61.56M","-0.81%"
"2019- 11- 08","283.13","285.81","286.12","282.57","73.68M","-0.44%"
"2019- 11- 07","284.37","284.04","284.82","283.05","70.72M","-0.05%"
"2019- 11- 06","284.52","284.31","286.43","283.70","77.95M","0.05%"
"2019- 11- 05","284.38","282.99","284.46","282.27","76.36M","0.65%"
"2019- 11- 04","282.54","279.90","282.77","279.90","77.00M","1.48%"
"2019- 11- 01","278.43","276.17","278.55","275.59","58.54M","0.95%"
"2019- 10- 31","275.82","276.84","279.04","275.82","78.34M","0.11%"
"2019- 10- 30","275.51","277.49","277.49","274.95","72.53M","-0.73%"
"2019- 10- 29","277.55","279.25","279.49","276.81","57.15M","-0.08%"
"2019- 10- 28","277.78","278.16","279.42","277.29","59.07M","0.26%"
"2019- 10- 25","277.07","277.60","277.67","275.70","58.28M","0.13%"
"2019- 10- 24","276.70","277.70","277.84","274.31","73.68M","0.17%"
"2019- 10- 23","276.23","276.83","277.29","275.34","65.29M","-0.43%"
"2019- 10- 22","277.41","275.40","278.19","274.93","63.88M","1.32%"
